collection_date,lineage,count
2020-09-05,Other,4
2020-09-05,Other,1549
2020-09-05,B.1.1.7,0
2020-09-05,B.1.617.2,0
2020-09-05,Other,0
2020-09-05,BA.2,0
2020-09-05,BA.4,0
2020-09-05,BA.5,0
2020-09-05,BA.1,0
2020-09-05,BA.2.75,0
2020-09-05,XBB,0
2020-09-05,BA.5.3,0
2020-09-12,Other,1
2020-09-12,Other,2026
2020-09-12,B.1.1.7,0
2020-09-12,B.1.617.2,0
2020-09-12,Other,0
2020-09-12,BA.2,0
2020-09-12,BA.4,0
2020-09-12,BA.5,0
2020-09-12,BA.1,0
2020-09-12,BA.2.75,0
2020-09-12,XBB,0
2020-09-12,BA.5.3,0
2020-09-19,Other,0
2020-09-19,Other,1266
2020-09-19,B.1.1.7,0
2020-09-19,B.1.617.2,0
2020-09-19,Other,0
2020-09-19,BA.2,0
2020-09-19,BA.4,0
2020-09-19,BA.5,0
2020-09-19,BA.1,0
2020-09-19,BA.2.75,0
2020-09-19,XBB,0
2020-09-19,BA.5.3,0
2020-09-26,Other,0
2020-09-26,Other,2840
2020-09-26,B.1.1.7,2
2020-09-26,B.1.617.2,0
2020-09-26,Other,0
2020-09-26,BA.2,0
2020-09-26,BA.4,0
2020-09-26,BA.5,0
2020-09-26,BA.1,0
2020-09-26,BA.2.75,0
2020-09-26,XBB,0
2020-09-26,BA.5.3,0
2020-10-03,Other,0
2020-10-03,Other,2029
2020-10-03,B.1.1.7,2
2020-10-03,B.1.617.2,0
2020-10-03,Other,0
2020-10-03,BA.2,0
2020-10-03,BA.4,0
2020-10-03,BA.5,0
2020-10-03,BA.1,0
2020-10-03,BA.2.75,0
2020-10-03,XBB,0
2020-10-03,BA.5.3,0
2020-10-10,Other,0
2020-10-10,Other,3424
2020-10-10,B.1.1.7,1
2020-10-10,B.1.617.2,0
2020-10-10,Other,0
2020-10-10,BA.2,0
2020-10-10,BA.4,0
2020-10-10,BA.5,0
2020-10-10,BA.1,0
2020-10-10,BA.2.75,0
2020-10-10,XBB,0
2020-10-10,BA.5.3,0
2020-10-17,Other,0
2020-10-17,Other,4153
2020-10-17,B.1.1.7,5
2020-10-17,B.1.617.2,0
2020-10-17,Other,0
2020-10-17,BA.2,0
2020-10-17,BA.4,0
2020-10-17,BA.5,0
2020-10-17,BA.1,0
2020-10-17,BA.2.75,0
2020-10-17,XBB,0
2020-10-17,BA.5.3,0
2020-10-24,Other,0
2020-10-24,Other,5090
2020-10-24,B.1.1.7,25
2020-10-24,B.1.617.2,0
2020-10-24,Other,0
2020-10-24,BA.2,0
2020-10-24,BA.4,0
2020-10-24,BA.5,0
2020-10-24,BA.1,0
2020-10-24,BA.2.75,0
2020-10-24,XBB,0
2020-10-24,BA.5.3,0
2020-10-31,Other,0
2020-10-31,Other,3192
2020-10-31,B.1.1.7,26
2020-10-31,B.1.617.2,0
2020-10-31,Other,0
2020-10-31,BA.2,0
2020-10-31,BA.4,0
2020-10-31,BA.5,0
2020-10-31,BA.1,0
2020-10-31,BA.2.75,0
2020-10-31,XBB,0
2020-10-31,BA.5.3,0
2020-11-07,Other,0
2020-11-07,Other,6159
2020-11-07,B.1.1.7,133
2020-11-07,B.1.617.2,0
2020-11-07,Other,0
2020-11-07,BA.2,0
2020-11-07,BA.4,0
