phecname,date,total_samples,delta_count,delta_frequency
West Midlands,2021-06-06,241,228,0.946058091286307
West Midlands,2021-06-07,389,362,0.9305912596401028
West Midlands,2021-06-08,399,384,0.9624060150375939
West Midlands,2021-06-09,428,412,0.9626168224299065
West Midlands,2021-06-10,381,362,0.9501312335958005
West Midlands,2021-06-11,394,382,0.9695431472081218
West Midlands,2021-06-12,308,298,0.9675324675324676
West Midlands,2021-06-13,350,343,0.98
West Midlands,2021-06-14,543,528,0.9723756906077348
West Midlands,2021-06-15,565,558,0.9876106194690265
West Midlands,2021-06-16,647,628,0.9706336939721792
West Midlands,2021-06-17,571,550,0.9632224168126094
West Midlands,2021-06-18,545,535,0.981651376146789
West Midlands,2021-06-19,478,473,0.9895397489539749
West Midlands,2021-06-20,495,483,0.9757575757575757
West Midlands,2021-06-21,803,788,0.9813200498132005
West Midlands,2021-06-22,802,785,0.9788029925187033
West Midlands,2021-06-23,645,633,0.9813953488372092
West Midlands,2021-06-24,262,257,0.9809160305343512
West Midlands,2021-06-25,228,226,0.9912280701754386
West Midlands,2021-06-26,308,301,0.9772727272727273
West Midlands,2021-06-27,294,289,0.9829931972789115
West Midlands,2021-06-28,468,460,0.9829059829059829
West Midlands,2021-06-29,923,899,0.9739978331527628
West Midlands,2021-06-30,369,352,0.9539295392953929
West Midlands,2021-07-01,140,138,0.9857142857142858
Yorkshire and Humber,2021-04-01,390,0,0
Yorkshire and Humber,2021-04-02,364,0,0
Yorkshire and Humber,2021-04-03,368,0,0
Yorkshire and Humber,2021-04-04,346,1,0.002890173410404624
Yorkshire and Humber,2021-04-05,352,1,0.002840909090909091
Yorkshire and Humber,2021-04-06,249,0,0
Yorkshire and Humber,2021-04-07,375,0,0
Yorkshire and Humber,2021-04-08,306,2,0.006535947712418301
Yorkshire and Humber,2021-04-09,284,0,0
Yorkshire and Humber,2021-04-10,161,0,0
Yorkshire and Humber,2021-04-11,242,0,0
Yorkshire and Humber,2021-04-12,365,0,0
Yorkshire and Humber,2021-04-13,275,0,0
Yorkshire and Humber,2021-04-14,271,0,0
Yorkshire and Humber,2021-04-15,245,0,0
Yorkshire and Humber,2021-04-16,229,0,0
Yorkshire and Humber,2021-04-17,186,2,0.010752688172043012
Yorkshire and Humber,2021-04-18,203,1,0.0049261083743842365
Yorkshire and Humber,2021-04-19,275,2,0.007272727272727273
Yorkshire and Humber,2021-04-20,315,3,0.009523809523809525
Yorkshire and Humber,2021-04-21,302,4,0.013245033112582781
Yorkshire and Humber,2021-04-22,323,2,0.006191950464396285
Yorkshire and Humber,2021-04-23,246,2,0.008130081300813009
Yorkshire and Humber,2021-04-24,188,2,0.010638297872340425
Yorkshire and Humber,2021-04-25,201,1,0.004975124378109453
Yorkshire and Humber,2021-04-26,302,3,0.009933774834437087
Yorkshire and Humber,2021-04-27,247,1,0.004048582995951417
Yorkshire and Humber,2021-04-28,282,10,0.03546099290780142
Yorkshire and Humber,2021-04-29,255,2,0.00784313725490196
Yorkshire and Humber,2021-04-30,174,3,0.017241379310344827
Yorkshire and Humber,2021-05-01,121,0,0
Yorkshire and Humber,2021-05-02,80,3,0.0375
Yorkshire and Humber,2021-05-03,176,4,0.022727272727272728
Yorkshire and Humber,2021-05-04,248,3,0.012096774193548387
Yorkshire and Humber,2021-05-05,218,3,0.013761467889908258
Yorkshire and Humber,2021-05-06,197,4,0.02030456852791878
Yorkshire and Humber,2021-05-07,189,6,0.031746031746031744
Yorkshire and Humber,2021-05-08,97,2,0.020618556701030927
Yorkshire and Humber,2021-05-09,86,4,0.046511627906976744
Yorkshire and Humber,2021-05-10,130,7,0.05384615384615385
Yorkshire and Humber,2021-05-11,144,8,0.05555555555555555
Yorkshire and Humber,2021-05-12,111,7,0.06306306306306306
Yorkshire and Humber,2021-05-13,168,12,0.07142857142857142
Yorkshire and Humber,2021-05-14,140,15,0.10714285714285714
Yorkshire and Humber,2021-05-15,80,7,0.0875
Yorkshire and Humber,2021-05-16,188,19,0.10106382978723404
Yorkshire and Humber,2021-05-17,246,48,0.1951219512195122
Yorkshire and Humber,2021-05-18,259,48,0.18532818532818532
Yorkshire and Humber,2021-05-19,278,63,0.22661870503597123
Yorkshire and Humber,2021-05-20,147,40,0.272108843537415
Yorkshire and Humber,2021-05-21,91,18,0.1978021978021978
Yorkshire and Humber,2021-05-22,158,46,0.2911392405063291
Yorkshire and Humber,2021-05-23,205,58,0.28292682926829266
Yorkshire and Humber,2021-05-24,274,104,0.3795620437956204
Yorkshire and Humber,2021-05-25,280,142,0.5071428571428571
Yorkshire and Humber,2021-05-26,295,117,0.39661016949152544
Yorkshire and Humber,2021-05-27,274,123,0.4489051094890511
Yorkshire and Humber,2021-05-28,239,108,0.45188284518828453
Yorkshire and Humber,2021-05-29,215,113,0.5255813953488372
Yorkshire and Humber,2021-05-30,262,156,0.5954198473282443
Yorkshire and Humber,2021-05-31,258,137,0.5310077519379846
Yorkshire and Humber,2021-06-01,392,249,0.6352040816326531
Yorkshire and Humber,2021-06-02,379,261,0.6886543535620053
Yorkshire and Humber,2021-06-03,425,298,0.7011764705882353
Yorkshire and Humber,2021-06-04,454,340,0.748898678414097
Yorkshire and Humber,2021-06-05,391,300,0.7672634271099744
Yorkshire and Humber,2021-06-06,397,306,0.7707808564231738
Yorkshire and Humber,2021-06-07,591,497,0.8409475465313029
Yorkshire and Humber,2021-06-08,583,514,0.8816466552315609
Yorkshire and Humber,2021-06-09,613,540,0.8809135399673735
Yorkshire and Humber,2021-06-10,557,482,0.8653500897666068
Yorkshire and Humber,2021-06-11,532,487,0.9154135338345865
Yorkshire and Humber,2021-06-12,432,394,0.9120370370370371
Yorkshire and Humber,2021-06-13,413,365,0.8837772397094431
Yorkshire and Humber,2021-06-14,734,689,0.9386920980926431
Yorkshire and Humber,2021-06-15,697,668,0.9583931133428981
Yorkshire and Humber,2021-06-16,854,810,0.9484777517564403
Yorkshire and Humber,2021-06-17,888,853,0.9605855855855856
Yorkshire and Humber,2021-06-18,768,750,0.9765625
Yorkshire and Humber,2021-06-19,486,467,0.9609053497942387
Yorkshire and Humber,2021-06-20,575,557,0.9686956521739131
Yorkshire and Humber,2021-06-21,974,940,0.9650924024640657
Yorkshire and Humber,2021-06-22,777,763,0.9819819819819819
Yorkshire and Humber,2021-06-23,753,723,0.9601593625498008
Yorkshire and Humber,2021-06-24,685,625,0.9124087591240876
Yorkshire and Humber,2021-06-25,691,680,0.984081041968162
Yorkshire and Humber,2021-06-26,523,517,0.988527724665392
Yorkshire and Humber,2021-06-27,705,675,0.9574468085106383
Yorkshire and Humber,2021-06-28,950,927,0.9757894736842105
Yorkshire and Humber,2021-06-29,664,653,0.983433734939759
Yorkshire and Humber,2021-06-30,893,864,0.9675251959686451
Yorkshire and Humber,2021-07-01,816,799,0.9791666666666666
