collection_date,variant,variant_count,total_count,variant_frequency
2023-02-22,BA.4,1,1491,6.706908115358819e-4
2023-02-22,BA.5,8,1491,0.0053655264922870555
2023-02-22,BQ.1,144,1491,0.096579476861167
2023-02-22,Other,40,1491,0.02682763246143528
2023-02-22,XBB,954,1491,0.6398390342052314
2023-03-04,BA.2.75,81,469,0.17270788912579957
2023-03-04,BA.5,2,469,0.0042643923240938165
2023-03-04,BQ.1,23,469,0.04904051172707889
2023-03-04,Other,7,469,0.014925373134328358
2023-03-04,XBB,356,469,0.7590618336886994
